Country,Confirmed_cases,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths_No,Recovered_No,Confirmed last week,1 week % increase,WHO Region
Suriname,1483,24,925,534,44,1,35,1.62,62.37,1079,37.44,Americas
Sweden,79395,5700,0,73695,398,3,0,7.18,0,78048,1.73,Europe
Switzerland,34477,1978,30900,1599,65,1,200,5.74,89.62,33634,2.51,Europe
Syria,674,40,0,634,24,2,0,5.93,0,522,29.12,Eastern Mediterranean
Taiwan*,462,7,440,15,4,0,0,1.52,95.24,451,2.44,Western Pacific
Tajikistan,7235,60,6028,1147,43,1,58,0.83,83.32,6921,4.54,Europe
Tanzania,509,21,183,305,0,0,0,4.13,35.95,509,0,Africa
Thailand,3297,58,3111,128,6,0,2,1.76,94.36,3250,1.45,South-East Asia
Timor-Leste,24,0,0,24,0,0,0,0,0,24,0,South-East Asia
Togo,874,18,607,249,6,0,8,2.06,69.45,783,11.62,Africa
Trinidad and Tobago,148,8,128,12,1,0,0,5.41,86.49,137,8.03,Americas
Tunisia,1455,50,1157,248,3,0,15,3.44,79.52,1381,5.36,Eastern Mediterranean
Turkey,227019,5630,210469,10920,919,17,982,2.48,92.71,220572,2.92,Europe
US,4290259,148011,1325804,2816444,56336,1076,27941,3.45,30.9,3834677,11.88,Americas
Uganda,1128,2,986,140,13,0,4,0.18,87.41,1069,5.52,Africa
Ukraine,67096,1636,37202,28258,835,11,317,2.44,55.45,60767,10.42,Europe
United Arab Emirates,59177,345,52510,6322,264,1,328,0.58,88.73,57193,3.47,Eastern Mediterranean
United Kingdom,301708,45844,1437,254427,688,7,3,15.19,0.48,296944,1.6,Europe
Uruguay,1202,35,951,216,10,1,3,2.91,79.12,1064,12.97,Americas
Uzbekistan,21209,121,11674,9414,678,5,569,0.57,55.04,17149,23.67,Europe
Venezuela,15988,146,9959,5883,525,4,213,0.91,62.29,12334,29.63,Americas
Vietnam,431,0,365,66,11,0,0,0,84.69,384,12.24,Western Pacific
West Bank and Gaza,10621,78,3752,6791,152,2,0,0.73,35.33,8916,19.12,Eastern Mediterranean
Western Sahara,10,1,8,1,0,0,0,10,80,10,0,Africa
Yemen,1691,483,833,375,10,4,36,28.56,49.26,1619,4.45,Eastern Mediterranean
Zambia,4552,140,2815,1597,71,1,465,3.08,61.84,3326,36.86,Africa
Zimbabwe,2704,36,542,2126,192,2,24,1.33,20.04,1713,57.85,Africa
